model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
claude-sonnet-4-6,0,global,0,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What general name is given to a rotating star which emits a regular beat of radiation?,1.0000001192092896,"A rotating star that emits regular pulses of radiation is called a **pulsar** (short for ""pulsating star,"" more precisely a rapidly rotating neutron star that emits beams of electromagnetic radiation).","A rotating star that emits regular pulses of radiation is called a **pulsar** (short for ""pulsating star,"" more precisely a rapidly rotating neutron star that emits beams of electromagnetic radiation).",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,1,global,0,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",1.0000001192092896,"The Gilbert and Sullivan operetta subtitled ""The Witch's Curse"" is **Ruddigore** (1887). Its full title is *Ruddigore, or The Witch's Curse*.","The Gilbert and Sullivan operetta subtitled ""The Witch's Curse"" is **Ruddigore** (1887). Its full title is *Ruddigore, or The Witch's Curse*.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,2,global,0,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,1.0,The English cricketer who took **10 for 53** against Australia in 1956 was **Jim Laker**. This was part of his remarkable performance at Old Trafford where he took **19 wickets for 90 runs** in the match — a record that still stands in Test cricket.,"The English cricketer who took **10 for 53** against Australia in 1956 was **Jim Laker**. This was part of his remarkable performance at Old Trafford in the Fourth Test, where he took **19 wickets for 90 runs** in the match — a record that still stands in Test cricket.",89.5428358719855,0.9921780228614807,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,3,global,0,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,1.0,"Wolf Mankowitz wrote the 1953 novel **""A Kid for Two Farthings""**.","Wolf Mankowitz wrote the 1953 novel **""A Kid for Two Farthings""**.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,4,global,0,trivia_qa,Who is the patron saint of dancers?,Who is the patron saint of dancers?,1.0,"The patron saint of dancers is **Saint Vitus** (also known as San Vito). He is also the patron saint of actors and entertainers. Saint Philemon is another figure sometimes associated with dancers.

However, **Saint Vitus** is the most commonly recognized patron saint of dancers.","The patron saint of dancers is **Saint Vitus** (also known as San Vito). He is also the patron saint of actors and entertainers. Saint Philemon is sometimes also associated with dancers and musicians.

However, **Saint Vitus** is the most commonly cited patron saint of dancers.",83.80204202880675,0.9896011352539062,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,5,global,0,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",1.0,The Communist Manifesto was written by **Karl Marx** and **Friedrich Engels**.,The Communist Manifesto was written by **Karl Marx** and **Friedrich Engels**.,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,6,global,0,trivia_qa,The fortified wine drink Sherry is named after what town?,The fortified wine drink Sherry is named after what town?,0.9999998211860657,"Sherry is named after **Jerez de la Frontera**, a town in Andalusia, Spain. The name ""Sherry"" is an anglicization of ""Jerez"" (which was previously spelled ""Xeres"" or ""Xerez"").","Sherry is named after **Jerez de la Frontera**, a town in Andalusia, Spain. The name ""Sherry"" is an anglicization of ""Jerez"" (which was previously spelled ""Xeres"" or ""Xerez"").",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,7,global,0,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,The nickname for Dumfries became the name of which Scottish football club?,1.0,"The nickname for Dumfries is ""Queen of the South,"" which became the name of **Queen of the South F.C.**, the Scottish football club based in Dumfries.","The nickname for Dumfries is ""Queen of the South,"" which became the name of **Queen of the South F.C.**, the Scottish football club based in Dumfries.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,8,global,0,trivia_qa,The revolutionary group the Sandinistas were active in which country?,The revolutionary group the Sandinistas were active in which country?,1.0,"The Sandinistas were active in **Nicaragua**. They overthrew the Somoza dictatorship in 1979 and governed Nicaragua throughout the 1980s. The group was named after Augusto César Sandino, a nationalist leader from the early 20th century.","The Sandinistas were active in **Nicaragua**. They overthrew the Somoza dictatorship in 1979 and governed Nicaragua throughout the 1980s. The group was named after Augusto César Sandino, a nationalist leader from the early 20th century.",100.00000000000004,0.9999999403953552,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,9,global,0,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,1.0,The Conservative candidate beaten by Ken Livingstone in the first two London mayoral elections (2000 and 2004) was **Steve Norris**.,The Conservative candidate beaten by Ken Livingstone in the first two London mayoral elections (2000 and 2004) was **Steve Norris**.,100.00000000000004,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,10,global,0,trivia_qa,"""Who said, To err is human but it feels divine?""""""","""Who said, To err is human but it feels divine?""""""",1.0,"The quote **""To err is human, but it feels divine""** is attributed to **Mae West**, the American actress and comedian known for her witty, risqué one-liners.

This is a clever play on Alexander Pope's famous line **""To err is human, to forgive divine""** from his 1711 work *An Essay on Criticism*.","The quote **""To err is human, but it feels divine""** is attributed to **Mae West**, the American actress and comedian known for her witty, risqué one-liners.

This is a clever play on Alexander Pope's famous line **""To err is human, to forgive divine""** from his 1711 poem *An Essay on Criticism*.",96.56187881844997,0.9977167248725891,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,11,global,0,trivia_qa,"When Mr Benn was looking for an adventure, what type of shop did he visit?","When Mr Benn was looking for an adventure, what type of shop did he visit?",1.0,"Mr Benn visited a **costume shop** (a fancy dress shop). He would try on a costume, and through a changing room door he would be transported into an adventure related to whatever costume he was wearing.","Mr Benn visited a **costume shop** (a fancy dress shop). He would try on a costume in the changing room, and a door would magically lead him into an adventure related to whatever he was wearing.",69.39856811062734,0.9791020154953003,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,12,global,0,trivia_qa,What was made and repaired by a Wainwright?,What was made and repaired by a Wainwright?,0.9999999403953552,"A **Wainwright** was a craftsman who made and repaired **wagons and carts** (also known as wains). They worked with wood and sometimes metal to construct the wheels, frames, and other components of horse-drawn vehicles.","A **Wainwright** was a craftsman who made and repaired **wagons and carts** (also called ""wains""). They worked with wood and sometimes metal to construct the wheels, frames, and other components of horse-drawn vehicles.",88.80663941924202,0.99349045753479,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,13,global,0,trivia_qa,"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?","The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",1.0000001192092896,"The War of the Triple Alliance was fought between the allied nations of Argentina, Brazil, and Uruguay against **Paraguay**. It was a devastating conflict for Paraguay, which suffered enormous casualties and significant loss of territory and population.","The War of the Triple Alliance was fought between the allied nations of Argentina, Brazil, and Uruguay against **Paraguay**. It was one of the deadliest conflicts in Latin American history, resulting in catastrophic losses for Paraguay, including a significant portion of its population.",56.751459333820506,0.9687986969947815,,,,0.0,0.0,0.0,0.0,,0.0
