model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gpt-5.4,0,global,0,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.9999999403953552,"Frida Kahlo’s **_Self-Portrait with Loose Hair_** sold for **$1,650,000 USD** at **Christie’s, New York** in **May 1991**.","Frida Kahlo’s **_Self-Portrait with Loose Hair_** sold at **Christie’s, New York, in May 1991 for $1,650,000 USD**.",59.29859156731832,0.9886353611946106,,-0.0,0.09610040869976211,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,1,global,0,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",1.0,"Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* during the papacy of **Pope Innocent X**.

It was made between **1647 and 1652** for the Cornaro Chapel in Santa Maria della Vittoria in Rome.","Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* during the papacy of **Pope Innocent X**.

It was made between **1647 and 1652** for the Cornaro Chapel in Santa Maria della Vittoria in Rome.",100.00000000000004,1.0,,-0.0,-0.24871332984576366,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,2,global,0,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,1.0,"The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.","The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.",100.00000000000004,0.9999999403953552,,-0.0,-0.20728755152747458,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,3,global,0,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?,1.0000001192092896,"The boiling point of **cerium** is **6,344°F** (about **3,507°C**).","Cerium boils at about **6,344°F**.

That comes from its boiling point of **3,443°C**, converted to Fahrenheit using:

**°F = (°C × 9/5) + 32**

So:

**(3443 × 9/5) + 32 = 6,229.4°F**

Correction: the accurate converted value is **about 6,229°F**.",13.991880958221527,0.8577633500099182,,-0.0,2.3405880064628812,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,4,global,0,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,1.0,Mary Letitia Caldwell’s Ph.D. thesis was titled **“Studies on Enzyme Action.”**,Mary Letitia Caldwell’s Ph.D. thesis was titled **“Studies on Enzyme Action.”**,100.00000000000004,1.0,,-0.0,0.09622638137274642,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,5,global,0,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",1.0,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,100.00000000000004,1.0,,-0.0,0.10995381902264117,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,6,global,0,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second in Group C in the 2018–19 UEFA Champions League?,0.9999998807907104,Napoli finished second in Group C of the 2018–19 UEFA Champions League.,Napoli finished second in Group C of the 2018–19 UEFA Champions League.,100.00000000000004,0.9999999403953552,,-0.0,-0.044567269607033166,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,7,global,0,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,"William Prager studied civil engineering at the **Technische Hochschule Darmstadt** in Germany, where he received his diploma in **1925**.",William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (now **Technische Universität Darmstadt**) and received his diploma there in **1925**.,55.70032441530405,0.9582111239433289,,-0.0,0.5231094170266277,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,8,global,0,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.9999998211860657,"At **The Streamer Awards 2022**, the **Best Variety Streamer** award was won by **Mizkif**.","At **The Streamer Awards 2022**, the **Best Variety Streamer** award was won by **Mizkif**.",100.00000000000004,1.0,,-0.0,0.08528645467431462,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,9,global,0,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,The naturalist was **William John Swainson**. He first described the sharpbill in 1821 under the binomial name *Oxyrhuncus cristatus*.,The naturalist was **William John Swainson**. He first described the sharpbill in 1821 under the binomial **_Oxyrhuncus cristatus_**.,73.84911101118158,0.9817602634429932,,-0.0,0.6694713526122442,1.0,0.0,0.0,0.0,,0.0
gpt-5.4,10,global,0,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did the Estonian composer Els Aarne write?,0.9999998807907104,Els Aarne wrote **2 symphonies**.,Els Aarne wrote **2 symphonies**.,100.00000000000004,1.0,,-0.0,0.0,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,11,global,0,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",1.0,"The **Emil J. Oberhoffer House** in Lakeville, Minnesota, was designed by **Clarence H. Johnston**.","The **Emil J. Oberhoffer House** in Lakeville, Minnesota, was designed by **Clarence H. Johnston**.",100.00000000000004,1.0,,-0.0,0.09686319718652592,0.0,0.0,0.0,0.0,,0.0
